burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 2610 p04,L,L,I,7.09,0.7,0.061,1.315,0.175,0.033,2.06E-07,1.81E-08,7.333,1.546,0.850646235,0.536,-0.35,-1.485617841,-6.686343653,0.865281685
BATSE 2619 p01,L,L,?,24.1,1.2,0.022,0.511,0.348,0.064,1.54E-06,4.90E-08,5.33,0.38,1.382017043,0.972,0.47,-1.19491866,-5.81276138,0.726727209
BATSE 2620 p01,L,L,C,16.9,1.05,0.023,0.362,1.039,0.176,1.16E-06,3.87E-08,1.854,0.143,1.227886705,0.948,2.062,-0.753817172,-5.936291441,0.26810973
BATSE 2623 p01,L,L,I,1.56,0.25,0.001,0.146,1.392,0.126,4.15E-07,2.71E-08,13.089,2.186,0.193124598,0.095,-0.021,-0.898573288,-6.381951903,1.116906468
BATSE 2628 p01,L,L,I,1.36,0.25,0.216,0.038,4.53,0.214,9.09E-07,3.66E-08,4.84,0.462,0.133538908,0.021,-0.05,-0.669499743,-6.041483897,0.684845362
BATSE 2628 p02,L,L,I,0.69,0.15,0.027,0.027,5.01,0.232,4.69E-07,2.67E-08,5.026,0.654,-0.161150909,0.741,0.07,-0.634448484,-6.329012397,0.701222484
BATSE 2634 p01,L,L,I,18.47,1.18,0.122,0.609,0.273,0.044,6.03E-07,2.83E-08,2.037,0.217,1.266466895,0.732,2.51,-1.356462096,-6.219538667,0.308991029
BATSE 2636 p01,L,L,?,42.97,,0.019,,0.086,0.017,,,,,1.633165354,0.997,,-1.780633533,,
BATSE 2640 p01,L,L,?,1.53,,0.104,,0.474,0.068,,,,,0.184691431,0.98,,-1.16965016,,
BATSE 2640 p02,L,L,?,0.88,0.18,0.111,0.139,0.784,0.103,8.22E-08,1.01E-08,1.481,0.432,-0.055517328,0.985,0.09,-0.986267154,-7.085233863,0.170555059
