0,0,1.5509e-07,0,0,0.075784,0,0,0,0,0,0.090357,0,0,0,0,0,0,0,0,0.080811,1.2992e-05,0,3.9617e-05,0,0,0,0.092523,0,0,0.00083544,0,0.0052203,0,0,0.038432,0,0.00067219,0.0054747,0,0,0,0,0,0,0,0,0.076206,0,0,0,0.00027741,0,0,0.00035841,0.00025855,5.5065e-05,0,0.035372,0.034864,0,5.8289e-06,0,8.8834e-06,0,0,0,0,0.0035826,0,0.00027715,0,0.0091611,0.00034083,9.8061e-05,2.305e-06,1.2006e-05,0,0,0.00020817,0,0,0.00017383
0,0,0,0,0,0,0,1.5032e-06,6.8556e-06,0.05318,0.00039247,0.043267,0,0,0,0,0.00073217,0.0060605,0,9.4483e-06,6.7331e-06,6.287e-05,0,0,0,0,0,0,0,0,0.00036897,0,0,0.00091068,0.0062438,0,0,5.8564e-05,0,0,5.9974e-05,0,0,0,0.0037172,0,0,0,0,6.1277e-05,0.058031,0,0.00032849,0.00062939,0,3.5183e-06,8.5363e-06,0,9.0863e-05,0,0.091447,0,0,0,9.3678e-06,0,0.00050105,0,0,0,0.094299,0,0.0089558,0.0953,0,0,0.00013755,0,0.0079923,9.6063e-06,0,0,0
1.5509e-07,0,0,0,7.0946e-06,0,0,0,0.0074569,0.00014384,0,0,0,0,0,0,0,0,2.6791e-05,0,0,0,0,2.1504e-05,0,0,0,0,0,0,1.5589e-05,0,7.2946e-05,0,0,0,0,0.0081409,0,0,3.5302e-05,0,8.079e-06,0.0023775,0,0,0,0.00058116,5.0844e-05,8.8236e-06,0,0,0,0,0,0,0.0087545,0,2.7346e-05,0,6.5584e-06,0,0,0.022716,0,0,0.00045639,0,0,0,0.024339,0.0044974,3.1949e-05,0,0.0019286,0,9.1536e-05,0,0,0.00029828,0,0,0
0,0,0,0,0,0,5.1137e-06,0,0,0,0,0.0030429,0,0,0.0057575,0.00040648,0,0,0.00011271,0,0,6.9399e-06,0.0058947,9.5307e-05,0.008653,0,0,0.083403,9.6693e-08,0.0057515,0,0,0,0.0022834,0,2.3377e-06,0.065228,2.3453e-06,0,5.7888e-05,0,0.0001944,0,0,0.00060367,0,0,3.9096e-05,6.1775e-06,4.8777e-05,0,0,0.0052255,1.8943e-06,0.004352,0,0,0.00039187,0,0,8.6102e-05,0,3.4081e-05,0,0.00079268,0.0084977,7.4806e-06,9.8532e-05,0,2.16e-06,0,2.5509e-06,0,0,0.024685,3.8297e-05,0,0,0,3.8861e-05,6.682e-05,0.0073203,0
0,0,7.0946e-06,0,0,0.055772,0,4.3493e-05,0,0,0,0,0,3.3948e-06,0,0,0,3.8773e-06,0,0,6.9603e-06,0,0.096544,0,0,0,8.5909e-06,0,2.6582e-05,1.575e-08,3.6233e-06,0,0.077085,0,0,3.5713e-06,0,0,0,0,0,0,0,2.0366e-05,0.0057484,0,3.9302e-05,5.096e-05,0,8.1927e-05,0.071285,0,8.5758e-05,0,0.0097987,0,0,0,0,0,0.00099489,0,0,0,0,0,0.096311,0,0,0,0.044956,0,0,0,0,0.00014627,0,6.1279e-06,0,5.372e-05,0.002083,0,0
0.075784,0,0,0,0.055772,0,0.0076983,0,0.036633,0,0.012873,0.00067214,0,3.0533e-06,8.897e-05,0,0.00036093,0,8.1016e-05,8.4423e-06,0.00084727,0,0,0.016324,0,0.0044792,2.4823e-05,0,0,0,0.047631,0,7.08e-05,0,0.00096334,0,0,0.00088767,0.0079138,0.00072106,0.040205,0,0.0064209,0,0,0,0,0,0,0.00089111,0.00085242,0,0.001012,0,0,0,0.038241,0,0.074452,0,0,0,0,0,0.08098,2.6378e-05,0,0.00050945,5.9529e-05,0,3.3984e-06,0,0,0.00053739,0,0.0069073,0,0.00037713,0.053029,0,0,0,8.4653e-05
0,0,0,5.1137e-06,0,0.0076983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086485,0,0.00014334,0.010826,6.6405e-06,0.032869,0.005899,0,8.8163e-06,0,0,0,7.3526e-05,0,0.097036,0,0,0,0,5.3388e-05,0,0,0.0817,0,0,9.2537e-05,0.00044022,0,0.00098551,8.1064e-05,2.3035e-06,0,0,7.416e-05,0,0,0.0073685,6.1217e-05,0,0,0,0,0,0,0,0.013736,0,0,4.3082e-06,7.021e-05,0,9.6994e-05,0.013852,8.7441e-05,0,6.5535e-05,0.0049004,0,0.00318,0.057741,0,0.098916
0,1.5032e-06,0,0,4.3493e-05,0,0,0,0,9.0661e-05,0.0066933,0,0,0,0,0,0,0,0,0,9.7104e-05,3.1086e-05,0,0,0,0,0,2.07e-05,0,0,0,0.0031727,0,0,0.00046903,6.4733e-06,3.5485e-06,0.00060609,0.0086157,0,9.74e-06,0.04967,0,0,0,0.0043498,0,0,0.0053926,6.1157e-05,7.0424e-05,0.00010238,0,3.796e-05,0,6.1706e-05,0,0,0.047058,0.0066282,0.07893,0,0,0.00095376,0.072764,4.5017e-06,0,0,0,0,0,0,0.016258,0.0028985,0,0,0,0,0.0080477,0,0,0,0
0,6.8556e-06,0.0074569,0,0,0.036633,0,0,0,6.1553e-06,0,0.050257,0,0,0,0,8.8657e-05,6.4833e-06,0,0,0.047347,0,4.2943e-05,0.005163,3.2637e-06,0.0090999,0.0040224,0,7.7261e-05,0.00067737,0,0.0074884,0.073387,0,0,0,0,0,0,0,0.0032812,3.8662e-05,0.0099122,0,0,1.22e-06,0,2.693e-05,3.6056e-05,0,0,0,0,0,0.03898,0,0,0,0.041675,3.4475e-06,0,0,0.0087548,0,0,0.013932,6.1411e-06,0.0058893,2.8086e-05,2.2599e-05,0,0,0,0,0.011595,0,0,0.0038596,0.0044443,1.9407e-05,0,7.4554e-06,0
0,0.05318,0.00014384,0,0,0,0,9.0661e-05,6.1553e-06,0,0,0.049599,0.0029449,0,0,2.9214e-06,0,0,3.9511e-05,0.00079886,3.4642e-06,1.3759e-06,0,0,0,8.797e-05,0,0,0,0,0.00058643,0,0,3.474e-06,0,0,0.00076878,0,5.8772e-05,0,0,0.0056051,0,0,0.0003253,0,3.395e-05,0.037305,0,0.00043977,0,0,0,0,0.00074959,0,0,0,0,0,0,0,0,0,0,0,1.6848e-06,0.0098282,0,0,0,0,0,6.4245e-06,0,1.8555e-06,0.00068873,3.4723e-06,0,0,3.6356e-06,0,0
